codigoPrestador;representanteLegal;email;nomePrestador;razaoSocial;telefone;celular
157;Carlos Moreira;inovacao01@inmestra.com.br;Saúde Integral Ocupacional;Diagnóstico Avançado S/A;(19) 4443-5110;(38) 99775-8879
1423;Fernanda Souza;suporte01@inmestra.com.br;Clínica ProVida;Saúde e Trabalho LTDA;(54) 9731-3946;(78) 94565-9421
1973;Thiago Almeida;inovacao01@inmestra.com.br;Clínica Nova Esperança;Instituto MedCare LTDA;(94) 3016-1576;(68) 99900-3210
2018;Thiago Almeida;inovacao01@inmestra.com.br;Clínica Vida Saudável;Vida Saudável LTDA;(72) 2290-4642;(56) 95254-2801
2058;Gabriela Rocha;esocial01@inmestra.com.br;Clínica Nova Esperança;Horizonte Clínicas Integradas;(88) 4096-6576;(51) 99150-8085
2092;Fernanda Souza;inovacao01@inmestra.com.br;Clínica ProVida;Vida Saudável LTDA;(66) 5214-8980;(36) 94827-4141
2193;João Lima;inovacao01@inmestra.com.br;Instituto MedCare;Saúde e Trabalho LTDA;(52) 8029-2895;(17) 99976-9495
2220;Fernanda Souza;esocial01@inmestra.com.br;Instituto MedCare;Diagnóstico Avançado S/A;(81) 8324-8447;(60) 91500-6539
2278;Gabriela Rocha;esocial01@inmestra.com.br;Centro Médico Bem-Estar;Instituto MedCare LTDA;(64) 6069-3244;(17) 94389-6784
2461;Gabriela Rocha;inovacao01@inmestra.com.br;Instituto Saúde e Trabalho;Saúde e Trabalho LTDA;(20) 4207-1649;(85) 91064-5073
2630;João Lima;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Vida Saudável LTDA;(50) 3518-1812;(92) 98022-6976
606;Fernanda Souza;inovacao01@inmestra.com.br;Clínica ProVida;Horizonte Clínicas Integradas;(67) 4990-2234;(86) 97804-4693
832;Lucas Ferreira;esocial01@inmestra.com.br;Clínica ProVida;Corporativa Plus Saúde LTDA;(55) 2031-9505;(58) 99323-7939
1103;Vanessa Martins;inovacao01@inmestra.com.br;Saúde Integral Ocupacional;Saúde Integral S/A;(74) 8846-8934;(60) 94915-3241
1386;Fernanda Souza;esocial01@inmestra.com.br;Instituto MedCare;Bem-Estar Diagnósticos LTDA;(11) 5627-7586;(70) 99469-7230
1498;Patrícia Andrade;suporte01@inmestra.com.br;Clínica Horizonte;Horizonte Clínicas Integradas;(34) 6691-6285;(81) 91881-4716
1596;Lucas Ferreira;esocial01@inmestra.com.br;Instituto Saúde e Trabalho;Diagnóstico Avançado S/A;(60) 7676-5564;(70) 94940-1891
2221;Gabriela Rocha;inovacao01@inmestra.com.br;Clínica Nova Esperança;Instituto MedCare LTDA;(85) 6765-7547;(42) 95732-8648
2316;Vanessa Martins;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;Saúde e Trabalho LTDA;(48) 3318-6341;(56) 94552-3264
2415;Rafael Dias;suporte01@inmestra.com.br;Clínica Vida Saudável;Vida Saudável LTDA;(31) 7887-5675;(76) 91336-1311
2999;Juliana Castro;esocial01@inmestra.com.br;Clínica Nova Esperança;Nova Esperança Serviços Médicos LTDA;(17) 4501-3792;(93) 98657-3777
3063;Lucas Ferreira;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;Bem-Estar Diagnósticos LTDA;(71) 9460-1893;(78) 98833-5867
31;Lucas Ferreira;esocial01@inmestra.com.br;Centro de Diagnóstico Avançado;Nova Esperança Serviços Médicos LTDA;(12) 2421-1825;(16) 92984-6131
208;Gabriela Rocha;esocial01@inmestra.com.br;Instituto MedCare;Vida Saudável LTDA;(97) 6024-8752;(64) 99704-7746
21;Rafael Dias;suporte01@inmestra.com.br;Clínica Vida Saudável;Instituto MedCare LTDA;(42) 4291-8834;(27) 95628-4999
50;Lucas Ferreira;esocial01@inmestra.com.br;Instituto MedCare;Saúde Integral S/A;(11) 5033-9697;(68) 97659-5135
6;João Lima;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Saúde e Trabalho LTDA;(43) 4802-9199;(61) 99738-2471
54;Carlos Moreira;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Nova Esperança Serviços Médicos LTDA;(64) 4906-7520;(38) 93975-2627
15;Fernanda Souza;esocial01@inmestra.com.br;Instituto Saúde e Trabalho;Diagnóstico Avançado S/A;(14) 2595-5574;(50) 91755-2072
59;Juliana Castro;suporte01@inmestra.com.br;Clínica Horizonte;Saúde Integral S/A;(96) 4920-8896;(81) 92664-8521
4;Juliana Castro;suporte01@inmestra.com.br;Saúde Corporativa Plus;Saúde e Trabalho LTDA;(25) 7826-2445;(66) 93000-7407
14;Rafael Dias;suporte01@inmestra.com.br;Centro de Diagnóstico Avançado;Horizonte Clínicas Integradas;(89) 8071-8698;(86) 98767-4678
62;Juliana Castro;esocial01@inmestra.com.br;Instituto MedCare;Instituto MedCare LTDA;(26) 3933-1225;(35) 96808-6120
8;Carlos Moreira;suporte01@inmestra.com.br;Centro de Diagnóstico Avançado;Corporativa Plus Saúde LTDA;(95) 4152-6299;(20) 97282-3064
19;Patrícia Andrade;esocial01@inmestra.com.br;Clínica Vida Saudável;Saúde e Trabalho LTDA;(78) 7297-2784;(74) 94390-6481
20;João Lima;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Saúde Integral S/A;(19) 2772-9167;(60) 93227-6932
24;Fernanda Souza;suporte01@inmestra.com.br;Saúde Integral Ocupacional;Horizonte Clínicas Integradas;(53) 8326-6037;(72) 92632-4334
30;Thiago Almeida;inovacao01@inmestra.com.br;Instituto Saúde e Trabalho;Nova Esperança Serviços Médicos LTDA;(46) 4391-9738;(12) 99626-2923
56;Vanessa Martins;suporte01@inmestra.com.br;Instituto MedCare;Nova Esperança Serviços Médicos LTDA;(99) 6015-3829;(64) 95598-8043
32;Carlos Moreira;esocial01@inmestra.com.br;Clínica Vida Saudável;Instituto MedCare LTDA;(29) 5210-6639;(61) 99646-5835
38;Gabriela Rocha;esocial01@inmestra.com.br;Clínica Nova Esperança;Saúde Integral S/A;(12) 8873-5935;(26) 93349-1492
39;Patrícia Andrade;inovacao01@inmestra.com.br;Saúde Integral Ocupacional;ProVida Serviços Médicos LTDA;(65) 4553-1549;(43) 95082-4312
46;Rafael Dias;esocial01@inmestra.com.br;Centro de Diagnóstico Avançado;Corporativa Plus Saúde LTDA;(48) 8461-7187;(18) 92131-9952
48;Rafael Dias;esocial01@inmestra.com.br;Clínica Horizonte;Horizonte Clínicas Integradas;(81) 8221-8345;(34) 99748-6421
49;Rafael Dias;inovacao01@inmestra.com.br;Clínica ProVida;Saúde Integral S/A;(63) 6158-4810;(94) 99517-9666
9;João Lima;esocial01@inmestra.com.br;Instituto Saúde e Trabalho;Corporativa Plus Saúde LTDA;(64) 4441-9193;(81) 92800-9023
11;Patrícia Andrade;inovacao01@inmestra.com.br;Saúde Corporativa Plus;Vida Saudável LTDA;(86) 4025-4083;(47) 91036-3160
13;Juliana Castro;esocial01@inmestra.com.br;Centro Médico Bem-Estar;Vida Saudável LTDA;(56) 7649-7097;(67) 96688-6720
76;Lucas Ferreira;esocial01@inmestra.com.br;Instituto Saúde e Trabalho;Bem-Estar Diagnósticos LTDA;(21) 4718-4080;(31) 99648-7020
68;Vanessa Martins;esocial01@inmestra.com.br;Saúde Corporativa Plus;Horizonte Clínicas Integradas;(57) 3927-1584;(61) 97682-1239
70;Patrícia Andrade;suporte01@inmestra.com.br;Clínica Nova Esperança;Saúde Integral S/A;(27) 4969-5837;(88) 97980-2270
71;Vanessa Martins;suporte01@inmestra.com.br;Centro de Diagnóstico Avançado;Instituto MedCare LTDA;(73) 2893-7583;(34) 98430-8338
81;Patrícia Andrade;suporte01@inmestra.com.br;Clínica Horizonte;Nova Esperança Serviços Médicos LTDA;(71) 2953-4766;(12) 98472-8410
80;Juliana Castro;suporte01@inmestra.com.br;Saúde Corporativa Plus;Bem-Estar Diagnósticos LTDA;(66) 3221-9847;(12) 95368-3856
82;Lucas Ferreira;esocial01@inmestra.com.br;Centro Médico Bem-Estar;Horizonte Clínicas Integradas;(20) 2680-7680;(73) 91806-3240
83;Fernanda Souza;inovacao01@inmestra.com.br;Centro de Diagnóstico Avançado;Instituto MedCare LTDA;(29) 3473-5493;(26) 99847-6166
91;Vanessa Martins;inovacao01@inmestra.com.br;Clínica Horizonte;Bem-Estar Diagnósticos LTDA;(34) 2829-8815;(17) 97619-4316
113;João Lima;esocial01@inmestra.com.br;Centro Médico Bem-Estar;Vida Saudável LTDA;(41) 6348-1616;(78) 93751-5491
85;Patrícia Andrade;inovacao01@inmestra.com.br;Instituto MedCare;Horizonte Clínicas Integradas;(71) 9204-9912;(47) 94489-1256
117;Gabriela Rocha;inovacao01@inmestra.com.br;Saúde Corporativa Plus;Vida Saudável LTDA;(24) 8439-5683;(94) 97485-5046
84;Lucas Ferreira;suporte01@inmestra.com.br;Clínica Horizonte;Saúde e Trabalho LTDA;(29) 3075-7036;(91) 99874-6274
89;Gabriela Rocha;suporte01@inmestra.com.br;Saúde Corporativa Plus;Corporativa Plus Saúde LTDA;(51) 7877-6488;(37) 94654-5802
95;Gabriela Rocha;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Bem-Estar Diagnósticos LTDA;(85) 4845-5113;(18) 97837-4677
102;Rafael Dias;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Nova Esperança Serviços Médicos LTDA;(33) 4298-5451;(84) 93351-5509
104;Gabriela Rocha;suporte01@inmestra.com.br;Saúde Integral Ocupacional;Vida Saudável LTDA;(52) 5408-8776;(19) 99578-6263
94;Carlos Moreira;suporte01@inmestra.com.br;Instituto MedCare;Instituto MedCare LTDA;(23) 8304-1269;(78) 99332-7729
129;Carlos Moreira;esocial01@inmestra.com.br;Centro de Diagnóstico Avançado;Vida Saudável LTDA;(60) 5324-4387;(78) 92023-9399
118;Carlos Moreira;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Horizonte Clínicas Integradas;(44) 5300-3121;(16) 99389-5294
120;João Lima;esocial01@inmestra.com.br;Clínica Nova Esperança;ProVida Serviços Médicos LTDA;(26) 2939-8409;(46) 95310-8303
127;Carlos Moreira;inovacao01@inmestra.com.br;Clínica ProVida;Diagnóstico Avançado S/A;(17) 7362-4483;(23) 93253-6327
126;João Lima;suporte01@inmestra.com.br;Instituto MedCare;Saúde Integral S/A;(24) 4702-5297;(27) 96083-5940
132;Juliana Castro;esocial01@inmestra.com.br;Saúde Corporativa Plus;Saúde e Trabalho LTDA;(49) 5927-8472;(70) 95676-2544
131;Lucas Ferreira;suporte01@inmestra.com.br;Clínica ProVida;Saúde Integral S/A;(76) 2747-4223;(72) 94301-4241
140;Gabriela Rocha;inovacao01@inmestra.com.br;Centro de Diagnóstico Avançado;Saúde Integral S/A;(51) 9578-4373;(51) 94332-5683
156;Rafael Dias;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Saúde Integral S/A;(12) 8311-9759;(13) 97580-2259
145;Patrícia Andrade;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;Diagnóstico Avançado S/A;(42) 2420-4622;(13) 98599-6094
149;Vanessa Martins;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Diagnóstico Avançado S/A;(61) 3490-9257;(30) 95545-6762
146;Gabriela Rocha;suporte01@inmestra.com.br;Clínica ProVida;Saúde Integral S/A;(45) 2696-2412;(96) 99978-1849
144;Rafael Dias;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;ProVida Serviços Médicos LTDA;(22) 7476-5122;(59) 94298-5111
181;Rafael Dias;esocial01@inmestra.com.br;Clínica Horizonte;Diagnóstico Avançado S/A;(59) 9168-9611;(17) 91501-7509
159;Patrícia Andrade;suporte01@inmestra.com.br;Clínica Nova Esperança;Diagnóstico Avançado S/A;(35) 5376-6388;(89) 91947-7435
185;Patrícia Andrade;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Corporativa Plus Saúde LTDA;(77) 3693-7173;(71) 96590-6605
191;Vanessa Martins;esocial01@inmestra.com.br;Saúde Corporativa Plus;Corporativa Plus Saúde LTDA;(95) 9360-2193;(39) 97821-1251
197;Rafael Dias;esocial01@inmestra.com.br;Saúde Integral Ocupacional;Instituto MedCare LTDA;(69) 5242-8138;(65) 98826-1487
204;João Lima;esocial01@inmestra.com.br;Clínica Nova Esperança;Saúde Integral S/A;(34) 5991-1751;(40) 98834-3237
239;Juliana Castro;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Corporativa Plus Saúde LTDA;(63) 3676-1040;(71) 98923-5421
245;Rafael Dias;suporte01@inmestra.com.br;Clínica Nova Esperança;Bem-Estar Diagnósticos LTDA;(22) 4766-4575;(20) 93046-3792
222;Gabriela Rocha;inovacao01@inmestra.com.br;Clínica Horizonte;ProVida Serviços Médicos LTDA;(84) 4368-7146;(53) 93119-2072
226;Thiago Almeida;inovacao01@inmestra.com.br;Saúde Integral Ocupacional;Diagnóstico Avançado S/A;(22) 4239-3051;(97) 95261-8127
205;Carlos Moreira;esocial01@inmestra.com.br;Clínica Horizonte;Saúde Integral S/A;(26) 2672-2161;(42) 95105-8083
202;Patrícia Andrade;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;Diagnóstico Avançado S/A;(17) 7591-1098;(64) 92987-4696
211;Fernanda Souza;suporte01@inmestra.com.br;Saúde Integral Ocupacional;Vida Saudável LTDA;(20) 7646-8458;(24) 94264-5149
214;Gabriela Rocha;suporte01@inmestra.com.br;Clínica ProVida;Horizonte Clínicas Integradas;(96) 7262-9402;(87) 92567-3390
227;Rafael Dias;esocial01@inmestra.com.br;Clínica Vida Saudável;Bem-Estar Diagnósticos LTDA;(76) 4940-7291;(12) 99823-3140
223;Patrícia Andrade;suporte01@inmestra.com.br;Clínica Horizonte;Saúde e Trabalho LTDA;(84) 3356-4285;(69) 96852-8657
228;Thiago Almeida;inovacao01@inmestra.com.br;Clínica ProVida;Vida Saudável LTDA;(18) 5749-3929;(63) 99540-7981
215;Thiago Almeida;esocial01@inmestra.com.br;Clínica Vida Saudável;Nova Esperança Serviços Médicos LTDA;(75) 7816-3419;(67) 96034-7483
216;Patrícia Andrade;suporte01@inmestra.com.br;Clínica Vida Saudável;Vida Saudável LTDA;(32) 7718-2009;(14) 93119-9023
235;Rafael Dias;inovacao01@inmestra.com.br;Saúde Corporativa Plus;Diagnóstico Avançado S/A;(76) 3453-4650;(56) 93310-6241
233;Carlos Moreira;esocial01@inmestra.com.br;Centro de Diagnóstico Avançado;Bem-Estar Diagnósticos LTDA;(86) 8621-7495;(22) 95330-6966
209;Carlos Moreira;esocial01@inmestra.com.br;Centro Médico Bem-Estar;Saúde Integral S/A;(39) 6430-7543;(71) 98239-9147
237;Gabriela Rocha;esocial01@inmestra.com.br;Saúde Integral Ocupacional;Corporativa Plus Saúde LTDA;(90) 7905-7312;(36) 97116-8627
241;Thiago Almeida;suporte01@inmestra.com.br;Clínica Nova Esperança;Bem-Estar Diagnósticos LTDA;(19) 6732-3368;(41) 91622-3081
238;Thiago Almeida;esocial01@inmestra.com.br;Centro de Diagnóstico Avançado;Corporativa Plus Saúde LTDA;(92) 9614-8891;(99) 93578-7097
302;Rafael Dias;inovacao01@inmestra.com.br;Clínica Horizonte;Corporativa Plus Saúde LTDA;(80) 2125-3964;(91) 99790-3929
283;Lucas Ferreira;esocial01@inmestra.com.br;Instituto MedCare;Saúde e Trabalho LTDA;(24) 8370-8461;(56) 95594-5679
252;Thiago Almeida;esocial01@inmestra.com.br;Centro Médico Bem-Estar;Corporativa Plus Saúde LTDA;(52) 9826-1305;(33) 94619-8119
280;João Lima;suporte01@inmestra.com.br;Clínica ProVida;Corporativa Plus Saúde LTDA;(59) 3445-6459;(80) 98963-8580
306;Juliana Castro;inovacao01@inmestra.com.br;Saúde Integral Ocupacional;Vida Saudável LTDA;(79) 6165-5324;(29) 98711-8210
290;Juliana Castro;inovacao01@inmestra.com.br;Instituto MedCare;Nova Esperança Serviços Médicos LTDA;(47) 6419-5278;(70) 98253-5047
327;Gabriela Rocha;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;Vida Saudável LTDA;(41) 4307-7133;(48) 99187-3903
335;Gabriela Rocha;inovacao01@inmestra.com.br;Saúde Corporativa Plus;Vida Saudável LTDA;(21) 9540-3839;(88) 97158-2459
345;Lucas Ferreira;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Bem-Estar Diagnósticos LTDA;(91) 5011-7000;(60) 96250-3554
347;Patrícia Andrade;suporte01@inmestra.com.br;Clínica Vida Saudável;ProVida Serviços Médicos LTDA;(78) 5406-7644;(66) 94581-7333
356;Carlos Moreira;esocial01@inmestra.com.br;Clínica Nova Esperança;Saúde Integral S/A;(51) 4098-1747;(35) 96113-6719
357;João Lima;suporte01@inmestra.com.br;Clínica ProVida;Instituto MedCare LTDA;(26) 7383-1899;(57) 95373-9479
368;Juliana Castro;esocial01@inmestra.com.br;Clínica Vida Saudável;Nova Esperança Serviços Médicos LTDA;(80) 5493-1199;(98) 98607-9687
372;Fernanda Souza;esocial01@inmestra.com.br;Instituto MedCare;Instituto MedCare LTDA;(69) 6099-6392;(53) 98840-6214
375;Patrícia Andrade;inovacao01@inmestra.com.br;Centro de Diagnóstico Avançado;Instituto MedCare LTDA;(96) 7524-5264;(91) 95804-6632
384;Thiago Almeida;inovacao01@inmestra.com.br;Instituto MedCare;Corporativa Plus Saúde LTDA;(85) 4120-1434;(73) 96430-6398
385;Juliana Castro;esocial01@inmestra.com.br;Saúde Integral Ocupacional;ProVida Serviços Médicos LTDA;(79) 8842-8378;(51) 93913-3522
389;Lucas Ferreira;suporte01@inmestra.com.br;Saúde Corporativa Plus;Vida Saudável LTDA;(22) 9614-3975;(78) 91658-8209
391;Juliana Castro;suporte01@inmestra.com.br;Clínica Nova Esperança;Instituto MedCare LTDA;(98) 2189-5598;(15) 99022-4330
392;Juliana Castro;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Horizonte Clínicas Integradas;(42) 3451-7284;(78) 91791-5384
394;Rafael Dias;suporte01@inmestra.com.br;Centro de Diagnóstico Avançado;Saúde Integral S/A;(51) 9691-1815;(44) 99391-5977
397;Fernanda Souza;inovacao01@inmestra.com.br;Clínica ProVida;Saúde e Trabalho LTDA;(43) 4687-9292;(97) 95137-8165
398;Vanessa Martins;esocial01@inmestra.com.br;Clínica Vida Saudável;Horizonte Clínicas Integradas;(97) 2672-8344;(41) 97015-9971
401;Thiago Almeida;inovacao01@inmestra.com.br;Clínica Horizonte;Bem-Estar Diagnósticos LTDA;(17) 5841-7211;(69) 99686-5332
402;Carlos Moreira;suporte01@inmestra.com.br;Clínica Horizonte;ProVida Serviços Médicos LTDA;(20) 8113-8081;(33) 96800-3148
404;Vanessa Martins;esocial01@inmestra.com.br;Clínica ProVida;Vida Saudável LTDA;(37) 5815-2995;(77) 95736-4039
405;Thiago Almeida;esocial01@inmestra.com.br;Clínica Nova Esperança;Nova Esperança Serviços Médicos LTDA;(47) 2841-9180;(28) 99871-3023
408;Rafael Dias;esocial01@inmestra.com.br;Instituto MedCare;Nova Esperança Serviços Médicos LTDA;(14) 2232-2079;(46) 96517-9014
413;Thiago Almeida;esocial01@inmestra.com.br;Instituto MedCare;Bem-Estar Diagnósticos LTDA;(22) 9061-2365;(93) 94844-8821
415;Thiago Almeida;esocial01@inmestra.com.br;Clínica ProVida;Horizonte Clínicas Integradas;(26) 9075-3369;(80) 91310-2575
416;Patrícia Andrade;inovacao01@inmestra.com.br;Instituto Saúde e Trabalho;Horizonte Clínicas Integradas;(76) 2836-7267;(16) 92919-6445
417;Rafael Dias;suporte01@inmestra.com.br;Saúde Corporativa Plus;Saúde e Trabalho LTDA;(16) 9327-1082;(56) 92058-1776
420;Thiago Almeida;inovacao01@inmestra.com.br;Clínica Nova Esperança;Horizonte Clínicas Integradas;(42) 6466-7607;(69) 91593-9637
424;Vanessa Martins;inovacao01@inmestra.com.br;Saúde Corporativa Plus;Bem-Estar Diagnósticos LTDA;(51) 3155-8750;(65) 96882-3992
427;Carlos Moreira;esocial01@inmestra.com.br;Clínica ProVida;Diagnóstico Avançado S/A;(70) 4934-4413;(92) 95317-4106
428;Juliana Castro;esocial01@inmestra.com.br;Clínica Nova Esperança;Diagnóstico Avançado S/A;(19) 4162-8159;(79) 92806-1077
434;Lucas Ferreira;esocial01@inmestra.com.br;Centro de Diagnóstico Avançado;Vida Saudável LTDA;(22) 6598-5244;(88) 97617-8346
435;Gabriela Rocha;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Saúde Integral S/A;(37) 2513-6355;(53) 93911-1229
436;Rafael Dias;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;Horizonte Clínicas Integradas;(46) 3281-5914;(36) 92756-4541
438;Gabriela Rocha;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Vida Saudável LTDA;(95) 8599-4646;(23) 93176-2754
439;Thiago Almeida;inovacao01@inmestra.com.br;Clínica Nova Esperança;Nova Esperança Serviços Médicos LTDA;(40) 4937-1887;(55) 92699-5189
440;Patrícia Andrade;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Horizonte Clínicas Integradas;(79) 9275-5032;(20) 96729-8837
441;Gabriela Rocha;inovacao01@inmestra.com.br;Saúde Integral Ocupacional;Saúde Integral S/A;(92) 3998-5284;(82) 97568-2481
442;Patrícia Andrade;esocial01@inmestra.com.br;Clínica Vida Saudável;Horizonte Clínicas Integradas;(41) 2454-2591;(15) 94901-6716
